Scenario,Configuration,Fidelity,Job_ID,R,N,C_Max,T_Max_ns,Shots,Initial_State,Notes,Workload
1,SWAP Compiler (Baseline),0.9307,N/A,1,1,10,55000,1024,2,"Static decoherence, no refresh","WRITE_0,IDLE_10,READ_0"
3,SQM (Real Timing - Calibrated),0.9199,N/A,1,1,10,55000,1024,2,Backend-calibrated timing,"WRITE_0,IDLE_10,READ_0"
1,SWAP Compiler (Baseline),0.8193,N/A,1,1,10,55000,1024,2,"Static decoherence, no refresh","WRITE_0,IDLE_20,READ_0"
3,SQM (Real Timing - Calibrated),0.7832,N/A,1,1,10,55000,1024,2,Backend-calibrated timing,"WRITE_0,IDLE_20,READ_0"
1,SWAP Compiler (Baseline),0.3574,N/A,1,1,10,55000,1024,2,"Static decoherence, no refresh","WRITE_0,IDLE_40,READ_0"
3,SQM (Real Timing - Calibrated),0.4375,N/A,1,1,10,55000,1024,2,Backend-calibrated timing,"WRITE_0,IDLE_40,READ_0"
1,SWAP Compiler (Baseline),0.1895,N/A,1,1,10,55000,1024,2,"Static decoherence, no refresh","WRITE_0,IDLE_80,READ_0"
3,SQM (Real Timing - Calibrated),0.5186,N/A,1,1,10,55000,1024,2,Backend-calibrated timing,"WRITE_0,IDLE_80,READ_0"
1,SWAP Compiler (Baseline),0.4912,N/A,1,1,10,55000,1024,2,"Static decoherence, no refresh","WRITE_0,IDLE_100,READ_0"
3,SQM (Real Timing - Calibrated),0.6348,N/A,1,1,10,55000,1024,2,Backend-calibrated timing,"WRITE_0,IDLE_100,READ_0"
1,SWAP Compiler (Baseline),0.7178,N/A,1,1,10,55000,1024,2,"Static decoherence, no refresh","WRITE_0,IDLE_150,READ_0"
3,SQM (Real Timing - Calibrated),0.4375,N/A,1,1,10,55000,1024,2,Backend-calibrated timing,"WRITE_0,IDLE_150,READ_0"
1,SWAP Compiler (Baseline),0.2314,N/A,1,1,10,55000,1024,2,"Static decoherence, no refresh","WRITE_0,IDLE_200,READ_0"
3,SQM (Real Timing - Calibrated),0.5205,N/A,1,1,10,55000,1024,2,Backend-calibrated timing,"WRITE_0,IDLE_200,READ_0"
1,SWAP Compiler (Baseline),0.5312,N/A,1,1,10,55000,1024,2,"Static decoherence, no refresh","WRITE_0,IDLE_300,READ_0"
3,SQM (Real Timing - Calibrated),0.4727,N/A,1,1,10,55000,1024,2,Backend-calibrated timing,"WRITE_0,IDLE_300,READ_0"
1,SWAP Compiler (Baseline),0.5762,N/A,1,1,10,55000,1024,2,"Static decoherence, no refresh","WRITE_0,IDLE_400,READ_0"
3,SQM (Real Timing - Calibrated),0.4775,N/A,1,1,10,55000,1024,2,Backend-calibrated timing,"WRITE_0,IDLE_400,READ_0"
1,SWAP Compiler (Baseline),0.5781,N/A,1,1,10,55000,1024,2,"Static decoherence, no refresh","WRITE_0,IDLE_500,READ_0"
3,SQM (Real Timing - Calibrated),0.4561,N/A,1,1,10,55000,1024,2,Backend-calibrated timing,"WRITE_0,IDLE_500,READ_0"
