SQM RB Characterization Results (SWAP protocol)
Timestamp,2026-04-27T21:57:30.891447
Backend,ibm_kingston
Architecture,2 registers * 1 qubits = 2 total qubits
Hilbert Dimension,d = 2^1 = 2
Native Gate,CZ

Magesan Fit Parameters
A (SPAM contrast),1.000000
p (process decay),0.994464
B (asymptote),0.000000
r_empirical,0.002768
p_swap_theory,0.131406

m (SWAP cycles),F_emp (fidelity),F_fit (fitted)
0,0.991250,1.000000
1,0.987500,0.994464
2,0.981000,0.988958
4,0.970000,0.978037
6,0.956500,0.967238
8,0.963250,0.956557
10,0.949750,0.945994
15,0.928500,0.920095
20,0.899000,0.894906
25,0.903000,0.870405
30,0.828750,0.846576
40,0.813000,0.800856
50,0.783750,0.757605
60,0.707750,0.716690
80,0.639000,0.641370
100,0.551500,0.573966
