Run,Workload,SQM_Fidelity,SWAP_Fidelity,Difference,Percent_Diff,SQM_Qubits,SWAP_Qubits
1,Workload 1 0 instructions,0.9355,0.95675,-0.02124999999999999,-2.2210608831983265,N/A,N/A
2,Workload 2 1 instructions,0.7895,0.8065,-0.017000000000000015,-2.1078735275883465,N/A,N/A
3,Workload 3 3 instructions,0.54775,0.57825,-0.030500000000000083,-5.274535235624744,N/A,N/A
4,Workload 4 4 instructions,0.483,0.52375,-0.040750000000000064,-7.780429594272088,N/A,N/A
5,Workload 5 5 instructions,0.3995,0.42575,-0.026249999999999996,-6.1655901350557825,N/A,N/A
6,Workload 6 6 instructions,0.32975,0.4055,-0.07575000000000004,-18.680641183723807,N/A,N/A
7,Workload 7 7 instructions,0.327,0.3925,-0.0655,-16.687898089171973,N/A,N/A
