Metric,Value
Experiment_Type,Hardware (Multi-Workload)
Backend,ibm_kingston
Total_Workloads,5
R,1
N,1
C_Max,10
T_Max_ns,94500
Shots,1000
Initial_State,0
""
Workload_1,Workload 1 (3 instr)
Workload_2,Workload 2 (3 instr)
Workload_3,Workload 3 (3 instr)
Workload_4,Workload 4 (3 instr)
Workload_5,Workload 5 (3 instr)
""
Total_Rows,10
