num_ids,delay_ns,delay_us,fidelity,N_qubits,T1_ns,T2_ns,ID_duration_ns
0,0.0,0.000,1.000000,2,149149,38194,35.5
1,35.5,0.035,0.999750,2,149149,38194,35.5
2,71.0,0.071,0.998750,2,149149,38194,35.5
4,142.0,0.142,0.998250,2,149149,38194,35.5
5,177.5,0.177,0.998250,2,149149,38194,35.5
8,284.0,0.284,0.995750,2,149149,38194,35.5
11,390.5,0.391,0.994000,2,149149,38194,35.5
16,568.0,0.568,0.993500,2,149149,38194,35.5
23,816.5,0.817,0.989750,2,149149,38194,35.5
34,1207.0,1.207,0.984000,2,149149,38194,35.5
48,1704.0,1.704,0.978000,2,149149,38194,35.5
69,2449.5,2.450,0.971750,2,149149,38194,35.5
98,3479.0,3.479,0.953250,2,149149,38194,35.5
139,4934.5,4.934,0.938500,2,149149,38194,35.5
199,7064.5,7.064,0.910250,2,149149,38194,35.5
283,10046.5,10.046,0.871250,2,149149,38194,35.5
403,14306.5,14.306,0.831250,2,149149,38194,35.5
573,20341.5,20.341,0.765000,2,149149,38194,35.5
816,28968.0,28.968,0.682250,2,149149,38194,35.5
1162,41251.0,41.251,0.580000,2,149149,38194,35.5
1654,58717.0,58.717,0.461750,2,149149,38194,35.5
2354,83567.0,83.567,0.338500,2,149149,38194,35.5
3350,118925.0,118.925,0.204000,2,149149,38194,35.5
4769,169299.5,169.299,0.103250,2,149149,38194,35.5
