Scenario,Configuration,Fidelity,Job_ID,R,N,C_Max,T_Max_ns,Shots,Initial_State,Notes,Workload
1,SWAP Compiler (Baseline),0.9930,N/A,1,1,10,94500,1000,0,"Static decoherence, no refresh","WRITE_0,IDLE_40,READ_0"
3,SQM (Real Timing - Calibrated),0.9900,N/A,1,1,10,94500,1000,0,Backend-calibrated timing,"WRITE_0,IDLE_40,READ_0"
1,SWAP Compiler (Baseline),0.9940,N/A,1,1,10,94500,1000,0,"Static decoherence, no refresh","WRITE_0,IDLE_80,READ_0"
3,SQM (Real Timing - Calibrated),0.9920,N/A,1,1,10,94500,1000,0,Backend-calibrated timing,"WRITE_0,IDLE_80,READ_0"
1,SWAP Compiler (Baseline),0.9890,N/A,1,1,10,94500,1000,0,"Static decoherence, no refresh","WRITE_0,IDLE_160,READ_0"
3,SQM (Real Timing - Calibrated),0.9000,N/A,1,1,10,94500,1000,0,Backend-calibrated timing,"WRITE_0,IDLE_160,READ_0"
1,SWAP Compiler (Baseline),0.9890,N/A,1,1,10,94500,1000,0,"Static decoherence, no refresh","WRITE_0,IDLE_320,READ_0"
3,SQM (Real Timing - Calibrated),0.8340,N/A,1,1,10,94500,1000,0,Backend-calibrated timing,"WRITE_0,IDLE_320,READ_0"
1,SWAP Compiler (Baseline),0.9870,N/A,1,1,10,94500,1000,0,"Static decoherence, no refresh","WRITE_0,IDLE_500,READ_0"
3,SQM (Real Timing - Calibrated),0.8100,N/A,1,1,10,94500,1000,0,Backend-calibrated timing,"WRITE_0,IDLE_500,READ_0"
