EXPERIMENT PARAMETERS
Parameter,Value
R (Logical Addresses),1
n (Qubits per Register),1
c_max (Max Cost Threshold),10
t_max_ns (Max Time Threshold),6750
shots,4000
initial_state,0

DETAILED RESULTS
Run,Workload,Tasks,SQM_Fidelity,SWAP_Fidelity,Difference,Percent_Diff,SQM_Qubits,SWAP_Qubits
1,Workload 1 3 instructions,WRITE_0 -> IDLE_10 -> READ_0,0.9015,0.97775,-0.07625000000000004,-7.798517003323963,N/A,N/A
2,Workload 2 3 instructions,WRITE_0 -> IDLE_20 -> READ_0,0.92675,0.97675,-0.050000000000000044,-5.119017148707453,N/A,N/A
3,Workload 3 3 instructions,WRITE_0 -> IDLE_40 -> READ_0,0.83125,0.9825,-0.15125,-15.394402035623408,N/A,N/A
4,Workload 4 3 instructions,WRITE_0 -> IDLE_80 -> READ_0,0.7595,0.97725,-0.21775,-22.281913532872856,N/A,N/A
5,Workload 5 3 instructions,WRITE_0 -> IDLE_100 -> READ_0,0.7565,0.983,-0.22650000000000003,-23.041709053916588,N/A,N/A
6,Workload 6 3 instructions,WRITE_0 -> IDLE_150 -> READ_0,0.70775,0.979,-0.27125,-27.70684371807967,N/A,N/A
7,Workload 7 3 instructions,WRITE_0 -> IDLE_200 -> READ_0,0.6865,0.98625,-0.29974999999999996,-30.39290240811153,N/A,N/A
8,Workload 8 3 instructions,WRITE_0 -> IDLE_300 -> READ_0,0.67725,0.986,-0.30874999999999997,-31.31338742393509,N/A,N/A
9,Workload 9 3 instructions,WRITE_0 -> IDLE_400 -> READ_0,0.66675,0.9865,-0.3197500000000001,-32.41256969082616,N/A,N/A
10,Workload 10 3 instructions,WRITE_0 -> IDLE_500 -> READ_0,0.69475,0.98475,-0.29000000000000004,-29.44909875602945,N/A,N/A
