Metric,Value
Experiment_Type,Hardware (2-Scenario)
Backend,Unknown
Workload,"READ_0,WRITE_0"
R,1
N,1
C_Max,2
T_Max_ns,200000
Shots,1000
Initial_State,1
""
Scenario_1_Fidelity,0.9730
Scenario_3_Fidelity,0.9090
""
Delta_S3_vs_S1,-0.0640
""
Analysis_Status,PARTIAL (2/3 scenarios)
