Metric,Value
Experiment_Type,Hardware (Multi-Workload)
Backend,ibm_kingston
Total_Workloads,10
R,1
N,1
C_Max,2
T_Max_ns,20000000
Shots,1000
Initial_State,1
""
Workload_1,Workload 1 (5 instr)
Workload_2,Workload 2 (5 instr)
Workload_3,Workload 3 (5 instr)
Workload_4,Workload 4 (5 instr)
Workload_5,Workload 5 (5 instr)
Workload_6,Workload 6 (5 instr)
Workload_7,Workload 7 (5 instr)
Workload_8,Workload 8 (5 instr)
Workload_9,Workload 9 (5 instr)
Workload_10,Workload 10 (5 instr)
""
Total_Rows,20
