Metric,Value
Experiment_Type,Hardware (Multi-Workload)
Backend,ibm_kingston
Total_Workloads,5
R,1
N,1
C_Max,3
T_Max_ns,67500
Shots,1000
Initial_State,1
""
Workload_1,Workload 1 (1 instr)
Workload_2,Workload 2 (1 instr)
Workload_3,Workload 3 (1 instr)
Workload_4,Workload 4 (1 instr)
Workload_5,Workload 5 (1 instr)
""
Total_Rows,10
