Scenario,Configuration,Fidelity,Job_ID,R,N,C_Max,T_Max_ns,Shots,Initial_State,Notes,Workload
1,SWAP Compiler (Baseline),0.7390,N/A,1,1,3,47250,1000,1,"Static decoherence, no refresh",IDLE_80
3,SQM (Real Timing - Calibrated),0.5830,N/A,1,1,3,47250,1000,1,Backend-calibrated timing,IDLE_80
1,SWAP Compiler (Baseline),0.5350,N/A,1,1,3,47250,1000,1,"Static decoherence, no refresh",IDLE_160
3,SQM (Real Timing - Calibrated),0.4600,N/A,1,1,3,47250,1000,1,Backend-calibrated timing,IDLE_160
1,SWAP Compiler (Baseline),0.2740,N/A,1,1,3,47250,1000,1,"Static decoherence, no refresh",IDLE_320
3,SQM (Real Timing - Calibrated),0.5680,N/A,1,1,3,47250,1000,1,Backend-calibrated timing,IDLE_320
1,SWAP Compiler (Baseline),0.6990,N/A,1,1,3,47250,1000,1,"Static decoherence, no refresh","READ_0,IDLE_80,READ_0"
3,SQM (Real Timing - Calibrated),0.6710,N/A,1,1,3,47250,1000,1,Backend-calibrated timing,"READ_0,IDLE_80,READ_0"
1,SWAP Compiler (Baseline),0.5060,N/A,1,1,3,47250,1000,1,"Static decoherence, no refresh","READ_0,IDLE_160,READ_0"
3,SQM (Real Timing - Calibrated),0.3960,N/A,1,1,3,47250,1000,1,Backend-calibrated timing,"READ_0,IDLE_160,READ_0"
1,SWAP Compiler (Baseline),0.2430,N/A,1,1,3,47250,1000,1,"Static decoherence, no refresh","READ_0,IDLE_320,READ_0"
3,SQM (Real Timing - Calibrated),0.2310,N/A,1,1,3,47250,1000,1,Backend-calibrated timing,"READ_0,IDLE_320,READ_0"
