Scenario,Configuration,Fidelity,Job_ID,R,N,Shots,Initial_State,Notes
1,SWAP Compiler (Baseline),0.8160,N/A,1,1,1000,1,"Static decoherence, no refresh"
3,SQM (Real Timing - Calibrated),0.7570,N/A,1,1,1000,1,Backend-calibrated timing (1350 ns)
