Metric,Value
Experiment_Type,Hardware (2-Scenario)
Backend,Unknown
Workload,"READ_0,WRITE_0,IDLE_60,READ_0"
R,1
N,1
Shots,1000
Initial_State,1 
c_max , 2    
t_max_ns , 200000
Scenario_1_Fidelity,0.8160
Scenario_3_Fidelity,0.7570
""
Delta_S3_vs_S1,-0.0590
""
Analysis_Status,PARTIAL (2/3 scenarios)
