EXPERIMENT PARAMETERS
Parameter,Value
R (Logical Addresses),1
n (Qubits per Register),1
c_max (Max Cost Threshold),10
t_max_ns (Max Time Threshold),1350
shots,4000
initial_state,1

DETAILED RESULTS
Run,Workload,Tasks,SQM_Fidelity,SWAP_Fidelity,Difference,Percent_Diff,SQM_Qubits,SWAP_Qubits
1,Workload 1 3 instructions,WRITE_0 -> IDLE_10 -> READ_0,0.7515,0.91575,-0.16425,-17.936117936117938,N/A,N/A
2,Workload 2 3 instructions,WRITE_0 -> IDLE_20 -> READ_0,0.61425,0.84975,-0.23550000000000004,-27.71403353927626,N/A,N/A
3,Workload 3 3 instructions,WRITE_0 -> IDLE_40 -> READ_0,0.515,0.73125,-0.21624999999999994,-29.572649572649567,N/A,N/A
4,Workload 4 3 instructions,WRITE_0 -> IDLE_80 -> READ_0,0.4565,0.5785,-0.122,-21.089023336214346,N/A,N/A
5,Workload 5 3 instructions,WRITE_0 -> IDLE_100 -> READ_0,0.45425,0.50425,-0.04999999999999999,-9.915716410510658,N/A,N/A
6,Workload 6 3 instructions,WRITE_0 -> IDLE_150 -> READ_0,0.44375,0.353,0.09075,25.708215297450426,N/A,N/A
7,Workload 7 3 instructions,WRITE_0 -> IDLE_200 -> READ_0,0.44875,0.2415,0.20725,85.81780538302277,N/A,N/A
8,Workload 8 3 instructions,WRITE_0 -> IDLE_300 -> READ_0,0.46175,0.1315,0.33025,251.14068441064637,N/A,N/A
9,Workload 9 3 instructions,WRITE_0 -> IDLE_400 -> READ_0,0.44525,0.07275,0.3725,512.0274914089348,N/A,N/A
10,Workload 10 3 instructions,WRITE_0 -> IDLE_500 -> READ_0,0.4605,0.04225,0.41825,989.9408284023668,N/A,N/A
11,Workload 11 3 instructions,WRITE_0 -> IDLE_600 -> READ_0,0.45875,0.026,0.43274999999999997,1664.423076923077,N/A,N/A
12,Workload 12 3 instructions,WRITE_0 -> IDLE_700 -> READ_0,0.4505,0.0165,0.434,2630.30303030303,N/A,N/A
13,Workload 13 3 instructions,WRITE_0 -> IDLE_800 -> READ_0,0.461,0.01725,0.44375000000000003,2572.463768115942,N/A,N/A
14,Workload 14 3 instructions,WRITE_0 -> IDLE_900 -> READ_0,0.44675,0.015,0.43174999999999997,2878.333333333333,N/A,N/A
