EXPERIMENT PARAMETERS
Parameter,Value
R (Logical Addresses),1
n (Qubits per Register),1
c_max (Max Cost Threshold),10
t_max_ns (Max Time Threshold),55000
shots,4000
initial_state,1

DETAILED RESULTS
Run,Workload,Tasks,SQM_Fidelity,SWAP_Fidelity,Difference,Percent_Diff,SQM_Qubits,SWAP_Qubits
1,Workload 1 3 instructions,WRITE_0 -> IDLE_10 -> READ_0,0.91575,0.91575,0.0,0.0,N/A,N/A
2,Workload 2 3 instructions,WRITE_0 -> IDLE_20 -> READ_0,0.84975,0.84975,0.0,0.0,N/A,N/A
3,Workload 3 3 instructions,WRITE_0 -> IDLE_40 -> READ_0,0.73125,0.73125,0.0,0.0,N/A,N/A
4,Workload 4 3 instructions,WRITE_0 -> IDLE_80 -> READ_0,0.57325,0.5785,-0.005249999999999977,-0.9075194468452854,N/A,N/A
5,Workload 5 3 instructions,WRITE_0 -> IDLE_100 -> READ_0,0.48775,0.50425,-0.01649999999999996,-3.2721864154685094,N/A,N/A
6,Workload 6 3 instructions,WRITE_0 -> IDLE_150 -> READ_0,0.348,0.353,-0.0050000000000000044,-1.4164305949008513,N/A,N/A
7,Workload 7 3 instructions,WRITE_0 -> IDLE_200 -> READ_0,0.2835,0.2415,0.04199999999999998,17.391304347826082,N/A,N/A
8,Workload 8 3 instructions,WRITE_0 -> IDLE_300 -> READ_0,0.1965,0.1315,0.065,49.42965779467681,N/A,N/A
9,Workload 9 3 instructions,WRITE_0 -> IDLE_400 -> READ_0,0.15625,0.07275,0.0835,114.77663230240552,N/A,N/A
10,Workload 10 3 instructions,WRITE_0 -> IDLE_500 -> READ_0,0.15175,0.04225,0.10949999999999999,259.17159763313606,N/A,N/A
11,Workload 11 3 instructions,WRITE_0 -> IDLE_600 -> READ_0,0.084,0.026,0.05800000000000001,223.07692307692312,N/A,N/A
12,Workload 12 3 instructions,WRITE_0 -> IDLE_700 -> READ_0,0.08025,0.0165,0.06375,386.3636363636363,N/A,N/A
13,Workload 13 3 instructions,WRITE_0 -> IDLE_800 -> READ_0,0.08725,0.01725,0.06999999999999999,405.7971014492753,N/A,N/A
14,Workload 14 3 instructions,WRITE_0 -> IDLE_900 -> READ_0,0.08525,0.015,0.07025,468.33333333333337,N/A,N/A
