Scenario,Configuration,Fidelity,Job_ID,R,N,C_Max,T_Max_ns,Shots,Initial_State,Notes,Workload
1,SWAP Compiler (Baseline),0.9258,N/A,1,1,1,1000000000,1024,2,"Static decoherence, no refresh","READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
3,SQM (Real Timing - Calibrated),0.9375,N/A,1,1,1,1000000000,1024,2,Backend-calibrated timing,"READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
1,SWAP Compiler (Baseline),0.8809,N/A,1,1,1,1000000000,1024,2,"Static decoherence, no refresh","READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
3,SQM (Real Timing - Calibrated),0.9160,N/A,1,1,1,1000000000,1024,2,Backend-calibrated timing,"READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
1,SWAP Compiler (Baseline),0.8271,N/A,1,1,1,1000000000,1024,2,"Static decoherence, no refresh","READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
3,SQM (Real Timing - Calibrated),0.8711,N/A,1,1,1,1000000000,1024,2,Backend-calibrated timing,"READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
1,SWAP Compiler (Baseline),0.7490,N/A,1,1,1,1000000000,1024,2,"Static decoherence, no refresh","READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
3,SQM (Real Timing - Calibrated),0.8633,N/A,1,1,1,1000000000,1024,2,Backend-calibrated timing,"READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
1,SWAP Compiler (Baseline),0.7041,N/A,1,1,1,1000000000,1024,2,"Static decoherence, no refresh","READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
3,SQM (Real Timing - Calibrated),0.8408,N/A,1,1,1,1000000000,1024,2,Backend-calibrated timing,"READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
