EXPERIMENT PARAMETERS
Parameter,Value
R (Logical Addresses),1
n (Qubits per Register),1
c_max (Max Cost Threshold),10
t_max_ns (Max Time Threshold),1350
shots,4000
initial_state,3

DETAILED RESULTS
Run,Workload,Tasks,SQM_Fidelity,SWAP_Fidelity,Difference,Percent_Diff,SQM_Qubits,SWAP_Qubits
1,Workload 1 3 instructions,WRITE_0 -> IDLE_10 -> READ_0,0.743,0.86725,-0.12424999999999997,-14.326895358893049,N/A,N/A
2,Workload 2 3 instructions,WRITE_0 -> IDLE_20 -> READ_0,0.62,0.7745,-0.15449999999999997,-19.948353776630082,N/A,N/A
3,Workload 3 3 instructions,WRITE_0 -> IDLE_40 -> READ_0,0.5245,0.64825,-0.12375000000000003,-19.089857308137297,N/A,N/A
4,Workload 4 3 instructions,WRITE_0 -> IDLE_80 -> READ_0,0.506,0.5535,-0.04749999999999999,-8.581752484191506,N/A,N/A
5,Workload 5 3 instructions,WRITE_0 -> IDLE_100 -> READ_0,0.498,0.535,-0.03700000000000003,-6.9158878504672945,N/A,N/A
6,Workload 6 3 instructions,WRITE_0 -> IDLE_150 -> READ_0,0.504,0.51,-0.006000000000000005,-1.176470588235295,N/A,N/A
7,Workload 7 3 instructions,WRITE_0 -> IDLE_200 -> READ_0,0.4965,0.49425,0.0022499999999999742,0.455235204855837,N/A,N/A
8,Workload 8 3 instructions,WRITE_0 -> IDLE_300 -> READ_0,0.49275,0.5065,-0.013749999999999929,-2.714708785784784,N/A,N/A
9,Workload 9 3 instructions,WRITE_0 -> IDLE_400 -> READ_0,0.4955,0.50525,-0.009749999999999981,-1.9297377535873295,N/A,N/A
10,Workload 10 3 instructions,WRITE_0 -> IDLE_500 -> READ_0,0.5005,0.491,0.009499999999999953,1.9348268839103775,N/A,N/A
11,Workload 11 3 instructions,WRITE_0 -> IDLE_600 -> READ_0,0.4945,0.49475,-0.000250000000000028,-0.0505305709954579,N/A,N/A
12,Workload 12 3 instructions,WRITE_0 -> IDLE_700 -> READ_0,0.5025,0.49475,0.007749999999999924,1.566447700859004,N/A,N/A
13,Workload 13 3 instructions,WRITE_0 -> IDLE_800 -> READ_0,0.4945,0.5055,-0.010999999999999954,-2.1760633036597343,N/A,N/A
14,Workload 14 3 instructions,WRITE_0 -> IDLE_900 -> READ_0,0.50025,0.49725,0.002999999999999947,0.6033182503770632,N/A,N/A
