Scenario,Configuration,Fidelity,Job_ID,R,N,C_Max,T_Max_ns,Shots,Initial_State,Notes,Workload
1,SWAP Compiler (Baseline),0.5098,N/A,1,1,1,1000000000,1024,3,"Static decoherence, no refresh","READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
3,SQM (Real Timing - Calibrated),0.7031,N/A,1,1,1,1000000000,1024,3,Backend-calibrated timing,"READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
1,SWAP Compiler (Baseline),0.4590,N/A,1,1,1,1000000000,1024,3,"Static decoherence, no refresh","READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
3,SQM (Real Timing - Calibrated),0.6611,N/A,1,1,1,1000000000,1024,3,Backend-calibrated timing,"READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
1,SWAP Compiler (Baseline),0.4092,N/A,1,1,1,1000000000,1024,3,"Static decoherence, no refresh","READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
3,SQM (Real Timing - Calibrated),0.6113,N/A,1,1,1,1000000000,1024,3,Backend-calibrated timing,"READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
1,SWAP Compiler (Baseline),0.4590,N/A,1,1,1,1000000000,1024,3,"Static decoherence, no refresh","READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
3,SQM (Real Timing - Calibrated),0.5508,N/A,1,1,1,1000000000,1024,3,Backend-calibrated timing,"READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
1,SWAP Compiler (Baseline),0.3730,N/A,1,1,1,1000000000,1024,3,"Static decoherence, no refresh","READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
3,SQM (Real Timing - Calibrated),0.5615,N/A,1,1,1,1000000000,1024,3,Backend-calibrated timing,"READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0,READ_0"
