EXPERIMENT PARAMETERS
Parameter,Value
R (Logical Addresses),1
n (Qubits per Register),1
c_max (Max Cost Threshold),1
t_max_ns (Max Time Threshold),1000000
shots,4000
initial_state,0

DETAILED RESULTS
Run,Workload,Tasks,SQM_Fidelity,SWAP_Fidelity,Difference,Percent_Diff,SQM_Qubits,SWAP_Qubits
1,Workload 1 4 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.89525,0.962,-0.06674999999999998,-6.938669438669437,N/A,N/A
2,Workload 2 8 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.78275,0.93725,-0.15450000000000008,-16.48439583889038,N/A,N/A
3,Workload 3 12 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.725,0.9135,-0.1885,-20.634920634920636,N/A,N/A
4,Workload 4 16 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.6845,0.88725,-0.20274999999999999,-22.85150746689208,N/A,N/A
5,Workload 5 20 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.66775,0.865,-0.19725000000000004,-22.80346820809249,N/A,N/A
6,Workload 6 24 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.62775,0.8465,-0.21875,-25.841701122268162,N/A,N/A
7,Workload 7 28 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.59425,0.81725,-0.2230000000000001,-27.286631997552778,N/A,N/A
8,Workload 8 32 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.5655,0.80625,-0.24075000000000002,-29.860465116279073,N/A,N/A
9,Workload 9 36 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.5505,0.7855,-0.235,-29.917250159134305,N/A,N/A
10,Workload 10 40 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.54425,0.77075,-0.22650000000000003,-29.386960752513787,N/A,N/A
