EXPERIMENT PARAMETERS
Parameter,Value
R (Logical Addresses),1
n (Qubits per Register),1
c_max (Max Cost Threshold),1
t_max_ns (Max Time Threshold),54000
shots,4000
initial_state,1

DETAILED RESULTS
Run,Workload,Tasks,SQM_Fidelity,SWAP_Fidelity,Difference,Percent_Diff,SQM_Qubits,SWAP_Qubits
1,Workload 1 4 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.90275,0.969,-0.06624999999999992,-6.836945304437557,N/A,N/A
2,Workload 2 8 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.78925,0.9415,-0.15225,-16.171003717472118,N/A,N/A
3,Workload 3 12 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.74175,0.918,-0.17625000000000002,-19.19934640522876,N/A,N/A
4,Workload 4 16 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.6935,0.8945,-0.20099999999999996,-22.470653996646167,N/A,N/A
5,Workload 5 20 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.67325,0.8685,-0.19525000000000003,-22.48128957973518,N/A,N/A
6,Workload 6 24 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.63,0.84775,-0.21775,-25.685638454733116,N/A,N/A
7,Workload 7 28 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.6,0.82775,-0.22775,-27.514346118997285,N/A,N/A
8,Workload 8 32 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.5705,0.805,-0.23450000000000004,-29.1304347826087,N/A,N/A
9,Workload 9 36 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.5675,0.78325,-0.21575,-27.545483562081074,N/A,N/A
10,Workload 10 40 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.55325,0.7685,-0.21524999999999994,-28.009108653220554,N/A,N/A
