RB Characterization Results (Multiple Teleportation Protocol)
Timestamp,2026-04-29T14:40:20.587190
Backend,fake_kyiv
Architecture,3 registers × 1 qubits = 3 total qubits
Registers,"reg_A (ping), reg_B (pong), ancilla (Bell channel)"
Hilbert Dimension,d = 2^1 = 2
Native Gate,ECR
Protocol,"SystolicTeleportation (ping-pong, active reset)"

Magesan Fit Parameters
A (SPAM contrast),0.468855
p (process decay per teleport),0.952884
B (asymptote),0.506213
r_empirical,0.023558
p_teleport_theory,0.095269

m (teleport cycles),F_emp (fidelity),F_fit (fitted)
0,0.991500,0.975068
1,0.950000,0.952978
2,0.924250,0.931928
4,0.887750,0.892757
6,0.846000,0.857190
8,0.832000,0.824896
10,0.793750,0.795573
15,0.732500,0.733533
20,0.689250,0.684795
25,0.642000,0.646507
30,0.623250,0.616427
40,0.588500,0.574233
50,0.532000,0.548192
60,0.535750,0.532121
80,0.510250,0.516081
100,0.513500,0.509972
