EXPERIMENT PARAMETERS
Parameter,Value
R (Logical Addresses),1
n (Qubits per Register),1
c_max (Max Cost Threshold),1
t_max_ns (Max Time Threshold),1000000
shots,4000
initial_state,1

DETAILED RESULTS
Run,Workload,Tasks,SQM_Fidelity,SWAP_Fidelity,Difference,Percent_Diff,SQM_Qubits,SWAP_Qubits
1,Workload 1 4 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.9025,0.969,-0.0665,-6.862745098039216,N/A,N/A
2,Workload 2 8 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.779,0.9415,-0.16249999999999998,-17.25969198088157,N/A,N/A
3,Workload 3 12 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.7295,0.918,-0.1885,-20.533769063180827,N/A,N/A
4,Workload 4 16 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.67975,0.8945,-0.21475,-24.007825600894357,N/A,N/A
5,Workload 5 20 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.648,0.8685,-0.22050000000000003,-25.38860103626943,N/A,N/A
6,Workload 6 24 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.6115,0.84775,-0.23624999999999996,-27.867885579475075,N/A,N/A
7,Workload 7 28 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.58175,0.82775,-0.246,-29.719118091211115,N/A,N/A
8,Workload 8 32 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.56225,0.805,-0.24275000000000002,-30.155279503105593,N/A,N/A
9,Workload 9 36 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.54525,0.78325,-0.238,-30.38621129907437,N/A,N/A
10,Workload 10 40 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.53,0.7685,-0.23849999999999993,-31.034482758620683,N/A,N/A
