Scenario,Configuration,Fidelity,Job_ID,R,N,C_Max,T_Max_ns,Shots,Initial_State,Notes,Workload
1,SWAP Compiler (Baseline),0.9756,N/A,1,1,1,1000000,1024,1,"Static decoherence, no refresh","READ_0,READ_0,WRITE_0,READ_0"
3,SQM (Real Timing - Calibrated),0.7549,N/A,1,1,1,1000000,1024,1,Backend-calibrated timing,"READ_0,READ_0,WRITE_0,READ_0"
1,SWAP Compiler (Baseline),0.9609,N/A,1,1,1,1000000,1024,1,"Static decoherence, no refresh","READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0"
3,SQM (Real Timing - Calibrated),0.6924,N/A,1,1,1,1000000,1024,1,Backend-calibrated timing,"READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0"
1,SWAP Compiler (Baseline),0.9326,N/A,1,1,1,1000000,1024,1,"Static decoherence, no refresh","READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0"
3,SQM (Real Timing - Calibrated),0.5703,N/A,1,1,1,1000000,1024,1,Backend-calibrated timing,"READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0"
1,SWAP Compiler (Baseline),0.9102,N/A,1,1,1,1000000,1024,1,"Static decoherence, no refresh","READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0"
3,SQM (Real Timing - Calibrated),0.6357,N/A,1,1,1,1000000,1024,1,Backend-calibrated timing,"READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0"
1,SWAP Compiler (Baseline),0.9033,N/A,1,1,1,1000000,1024,1,"Static decoherence, no refresh","READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0"
3,SQM (Real Timing - Calibrated),0.5156,N/A,1,1,1,1000000,1024,1,Backend-calibrated timing,"READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0"
1,SWAP Compiler (Baseline),0.8760,N/A,1,1,1,1000000,1024,1,"Static decoherence, no refresh","READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0"
3,SQM (Real Timing - Calibrated),0.5234,N/A,1,1,1,1000000,1024,1,Backend-calibrated timing,"READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0"
1,SWAP Compiler (Baseline),0.8545,N/A,1,1,1,1000000,1024,1,"Static decoherence, no refresh","READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0"
3,SQM (Real Timing - Calibrated),0.4971,N/A,1,1,1,1000000,1024,1,Backend-calibrated timing,"READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0"
1,SWAP Compiler (Baseline),0.8203,N/A,1,1,1,1000000,1024,1,"Static decoherence, no refresh","READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0"
3,SQM (Real Timing - Calibrated),0.4941,N/A,1,1,1,1000000,1024,1,Backend-calibrated timing,"READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0,READ_0,READ_0,WRITE_0,READ_0"
