EXPERIMENT PARAMETERS
Parameter,Value
R (Logical Addresses),1
n (Qubits per Register),1
c_max (Max Cost Threshold),2
t_max_ns (Max Time Threshold),1000000
shots,4000
initial_state,1

DETAILED RESULTS
Run,Workload,Tasks,SQM_Fidelity,SWAP_Fidelity,Difference,Percent_Diff,SQM_Qubits,SWAP_Qubits
1,Workload 1 4 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.969,0.969,0.0,0.0,N/A,N/A
2,Workload 2 8 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.87475,0.9415,-0.06674999999999998,-7.089750398300581,N/A,N/A
3,Workload 3 12 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.8015,0.918,-0.11650000000000005,-12.690631808278871,N/A,N/A
4,Workload 4 16 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.70875,0.8945,-0.18574999999999997,-20.76579094466182,N/A,N/A
5,Workload 5 20 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.69875,0.8685,-0.16975000000000007,-19.545192861255046,N/A,N/A
6,Workload 6 24 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.6565,0.84775,-0.19125000000000003,-22.559716897670306,N/A,N/A
7,Workload 7 28 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.64625,0.82775,-0.1815,-21.92691029900332,N/A,N/A
8,Workload 8 32 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.63075,0.805,-0.17425000000000002,-21.645962732919255,N/A,N/A
9,Workload 9 36 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.6235,0.78325,-0.15974999999999995,-20.395786785828275,N/A,N/A
10,Workload 10 40 instructions,READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0 -> READ_0 -> READ_0 -> WRITE_0 -> READ_0,0.5975,0.7685,-0.17099999999999993,-22.25113858165256,N/A,N/A
