Scenario,Configuration,Fidelity,Job_ID,R,N,C_Max,T_Max_ns,Shots,Initial_State,Notes,Workload
1,SWAP Compiler (Baseline),0.9660,N/A,1,1,10,1350,1000,3,"Static decoherence, no refresh","WRITE_0,IDLE_10,READ_0"
3,SQM (Real Timing - Calibrated),0.5780,N/A,1,1,10,1350,1000,3,Backend-calibrated timing,"WRITE_0,IDLE_10,READ_0"
1,SWAP Compiler (Baseline),0.9580,N/A,1,1,10,1350,1000,3,"Static decoherence, no refresh","WRITE_0,IDLE_20,READ_0"
3,SQM (Real Timing - Calibrated),0.4540,N/A,1,1,10,1350,1000,3,Backend-calibrated timing,"WRITE_0,IDLE_20,READ_0"
1,SWAP Compiler (Baseline),0.9070,N/A,1,1,10,1350,1000,3,"Static decoherence, no refresh","WRITE_0,IDLE_40,READ_0"
3,SQM (Real Timing - Calibrated),0.5140,N/A,1,1,10,1350,1000,3,Backend-calibrated timing,"WRITE_0,IDLE_40,READ_0"
1,SWAP Compiler (Baseline),0.7710,N/A,1,1,10,1350,1000,3,"Static decoherence, no refresh","WRITE_0,IDLE_80,READ_0"
3,SQM (Real Timing - Calibrated),0.5140,N/A,1,1,10,1350,1000,3,Backend-calibrated timing,"WRITE_0,IDLE_80,READ_0"
1,SWAP Compiler (Baseline),0.7470,N/A,1,1,10,1350,1000,3,"Static decoherence, no refresh","WRITE_0,IDLE_100,READ_0"
3,SQM (Real Timing - Calibrated),0.4790,N/A,1,1,10,1350,1000,3,Backend-calibrated timing,"WRITE_0,IDLE_100,READ_0"
1,SWAP Compiler (Baseline),0.6480,N/A,1,1,10,1350,1000,3,"Static decoherence, no refresh","WRITE_0,IDLE_150,READ_0"
3,SQM (Real Timing - Calibrated),0.5240,N/A,1,1,10,1350,1000,3,Backend-calibrated timing,"WRITE_0,IDLE_150,READ_0"
1,SWAP Compiler (Baseline),0.5060,N/A,1,1,10,1350,1000,3,"Static decoherence, no refresh","WRITE_0,IDLE_200,READ_0"
3,SQM (Real Timing - Calibrated),0.5080,N/A,1,1,10,1350,1000,3,Backend-calibrated timing,"WRITE_0,IDLE_200,READ_0"
1,SWAP Compiler (Baseline),0.3510,N/A,1,1,10,1350,1000,3,"Static decoherence, no refresh","WRITE_0,IDLE_300,READ_0"
3,SQM (Real Timing - Calibrated),0.5050,N/A,1,1,10,1350,1000,3,Backend-calibrated timing,"WRITE_0,IDLE_300,READ_0"
1,SWAP Compiler (Baseline),0.4530,N/A,1,1,10,1350,1000,3,"Static decoherence, no refresh","WRITE_0,IDLE_400,READ_0"
3,SQM (Real Timing - Calibrated),0.5130,N/A,1,1,10,1350,1000,3,Backend-calibrated timing,"WRITE_0,IDLE_400,READ_0"
1,SWAP Compiler (Baseline),0.4410,N/A,1,1,10,1350,1000,3,"Static decoherence, no refresh","WRITE_0,IDLE_500,READ_0"
3,SQM (Real Timing - Calibrated),0.5100,N/A,1,1,10,1350,1000,3,Backend-calibrated timing,"WRITE_0,IDLE_500,READ_0"
1,SWAP Compiler (Baseline),0.5070,N/A,1,1,10,1350,1000,3,"Static decoherence, no refresh","WRITE_0,IDLE_600,READ_0"
3,SQM (Real Timing - Calibrated),0.5040,N/A,1,1,10,1350,1000,3,Backend-calibrated timing,"WRITE_0,IDLE_600,READ_0"
1,SWAP Compiler (Baseline),0.5250,N/A,1,1,10,1350,1000,3,"Static decoherence, no refresh","WRITE_0,IDLE_700,READ_0"
3,SQM (Real Timing - Calibrated),0.5030,N/A,1,1,10,1350,1000,3,Backend-calibrated timing,"WRITE_0,IDLE_700,READ_0"
1,SWAP Compiler (Baseline),0.5210,N/A,1,1,10,1350,1000,3,"Static decoherence, no refresh","WRITE_0,IDLE_800,READ_0"
3,SQM (Real Timing - Calibrated),0.5010,N/A,1,1,10,1350,1000,3,Backend-calibrated timing,"WRITE_0,IDLE_800,READ_0"
1,SWAP Compiler (Baseline),0.4520,N/A,1,1,10,1350,1000,3,"Static decoherence, no refresh","WRITE_0,IDLE_900,READ_0"
3,SQM (Real Timing - Calibrated),0.5200,N/A,1,1,10,1350,1000,3,Backend-calibrated timing,"WRITE_0,IDLE_900,READ_0"
