EXPERIMENT PARAMETERS
Parameter,Value
R (Logical Addresses),1
n (Qubits per Register),1
c_max (Max Cost Threshold),10
t_max_ns (Max Time Threshold),1350
shots,4000
initial_state,0

DETAILED RESULTS
Run,Workload,Tasks,SQM_Fidelity,SWAP_Fidelity,Difference,Percent_Diff,SQM_Qubits,SWAP_Qubits
1,Workload 1 3 instructions,WRITE_0 -> IDLE_10 -> READ_0,0.78475,0.97775,-0.19300000000000006,-19.739197136282286,N/A,N/A
2,Workload 2 3 instructions,WRITE_0 -> IDLE_20 -> READ_0,0.6765,0.97675,-0.30025,-30.73969797798823,N/A,N/A
3,Workload 3 3 instructions,WRITE_0 -> IDLE_40 -> READ_0,0.5955,0.9825,-0.387,-39.38931297709923,N/A,N/A
4,Workload 4 3 instructions,WRITE_0 -> IDLE_80 -> READ_0,0.55375,0.97725,-0.4235,-43.335891532361224,N/A,N/A
5,Workload 5 3 instructions,WRITE_0 -> IDLE_100 -> READ_0,0.55625,0.983,-0.42674999999999996,-43.413021363173954,N/A,N/A
6,Workload 6 3 instructions,WRITE_0 -> IDLE_150 -> READ_0,0.55775,0.979,-0.42125,-43.02860061287028,N/A,N/A
7,Workload 7 3 instructions,WRITE_0 -> IDLE_200 -> READ_0,0.548,0.98625,-0.4382499999999999,-44.4359949302915,N/A,N/A
8,Workload 8 3 instructions,WRITE_0 -> IDLE_300 -> READ_0,0.5385,0.986,-0.4475,-45.385395537525355,N/A,N/A
9,Workload 9 3 instructions,WRITE_0 -> IDLE_400 -> READ_0,0.552,0.9865,-0.4345,-44.04460212873796,N/A,N/A
10,Workload 10 3 instructions,WRITE_0 -> IDLE_500 -> READ_0,0.537,0.98475,-0.44775,-45.46839299314547,N/A,N/A
11,Workload 11 3 instructions,WRITE_0 -> IDLE_600 -> READ_0,0.53675,0.9845,-0.4477500000000001,-45.47993905535806,N/A,N/A
12,Workload 12 3 instructions,WRITE_0 -> IDLE_700 -> READ_0,0.55,0.98425,-0.4342499999999999,-44.11988823977647,N/A,N/A
13,Workload 13 3 instructions,WRITE_0 -> IDLE_800 -> READ_0,0.5445,0.98575,-0.44125000000000003,-44.76287091047426,N/A,N/A
14,Workload 14 3 instructions,WRITE_0 -> IDLE_900 -> READ_0,0.5535,0.9845,-0.43100000000000005,-43.778567800914175,N/A,N/A
