SQM Delay Characterization Results
Timestamp,2026-04-23T20:56:30.970044
Backend,fake_kyiv
N_qubits,1
Hilbert Dimension,d = 2^1 = 2

Fit Parameters: F(t) = A * exp(-t/tau) + B
A (SPAM contrast),0.973511
"tau (decay time, ns)",381620.06
B (asymptote),0.021374

t (ns),t (us),F_emp,F_fit
0.0,0.000,0.994500,0.994885
500.0,0.500,0.991250,0.993610
1000.0,1.000,0.991500,0.992337
2000.0,2.000,0.987250,0.989796
4000.0,4.000,0.985000,0.984734
6000.0,6.000,0.977500,0.979699
8000.0,8.000,0.974250,0.974690
10000.0,10.000,0.965750,0.969706
15000.0,15.000,0.958500,0.957362
20000.0,20.000,0.941500,0.945179
30000.0,30.000,0.921750,0.921286
40000.0,40.000,0.904250,0.898011
50000.0,50.000,0.879500,0.875338
60000.0,60.000,0.855500,0.853251
80000.0,80.000,0.820000,0.810777
100000.0,100.000,0.768000,0.770471
120000.0,120.000,0.736250,0.732223
150000.0,150.000,0.681500,0.678482
200000.0,200.000,0.586500,0.597789
400000.0,400.000,0.358000,0.362669
600000.0,600.000,0.227500,0.223454
