Scenario,Configuration,Fidelity,Job_ID,R,N,C_Max,T_Max_ns,Shots,Initial_State,Notes,Workload
1,SWAP Compiler (Baseline),0.9404,N/A,1,1,10,1000,1024,1,"Static decoherence, no refresh","WRITE_0,IDLE_10,READ_0"
3,SQM (Real Timing - Calibrated),0.4805,N/A,1,1,10,1000,1024,1,Backend-calibrated timing,"WRITE_0,IDLE_10,READ_0"
1,SWAP Compiler (Baseline),0.8711,N/A,1,1,10,1000,1024,1,"Static decoherence, no refresh","WRITE_0,IDLE_20,READ_0"
3,SQM (Real Timing - Calibrated),0.5146,N/A,1,1,10,1000,1024,1,Backend-calibrated timing,"WRITE_0,IDLE_20,READ_0"
1,SWAP Compiler (Baseline),0.7412,N/A,1,1,10,1000,1024,1,"Static decoherence, no refresh","WRITE_0,IDLE_40,READ_0"
3,SQM (Real Timing - Calibrated),0.4912,N/A,1,1,10,1000,1024,1,Backend-calibrated timing,"WRITE_0,IDLE_40,READ_0"
1,SWAP Compiler (Baseline),0.6660,N/A,1,1,10,1000,1024,1,"Static decoherence, no refresh","WRITE_0,IDLE_80,READ_0"
3,SQM (Real Timing - Calibrated),0.4932,N/A,1,1,10,1000,1024,1,Backend-calibrated timing,"WRITE_0,IDLE_80,READ_0"
1,SWAP Compiler (Baseline),0.4648,N/A,1,1,10,1000,1024,1,"Static decoherence, no refresh","WRITE_0,IDLE_100,READ_0"
3,SQM (Real Timing - Calibrated),0.4941,N/A,1,1,10,1000,1024,1,Backend-calibrated timing,"WRITE_0,IDLE_100,READ_0"
1,SWAP Compiler (Baseline),0.5830,N/A,1,1,10,1000,1024,1,"Static decoherence, no refresh","WRITE_0,IDLE_150,READ_0"
3,SQM (Real Timing - Calibrated),0.4697,N/A,1,1,10,1000,1024,1,Backend-calibrated timing,"WRITE_0,IDLE_150,READ_0"
1,SWAP Compiler (Baseline),0.5127,N/A,1,1,10,1000,1024,1,"Static decoherence, no refresh","WRITE_0,IDLE_200,READ_0"
3,SQM (Real Timing - Calibrated),0.5029,N/A,1,1,10,1000,1024,1,Backend-calibrated timing,"WRITE_0,IDLE_200,READ_0"
1,SWAP Compiler (Baseline),0.3018,N/A,1,1,10,1000,1024,1,"Static decoherence, no refresh","WRITE_0,IDLE_300,READ_0"
3,SQM (Real Timing - Calibrated),0.4941,N/A,1,1,10,1000,1024,1,Backend-calibrated timing,"WRITE_0,IDLE_300,READ_0"
1,SWAP Compiler (Baseline),0.1680,N/A,1,1,10,1000,1024,1,"Static decoherence, no refresh","WRITE_0,IDLE_400,READ_0"
3,SQM (Real Timing - Calibrated),0.4912,N/A,1,1,10,1000,1024,1,Backend-calibrated timing,"WRITE_0,IDLE_400,READ_0"
1,SWAP Compiler (Baseline),0.2285,N/A,1,1,10,1000,1024,1,"Static decoherence, no refresh","WRITE_0,IDLE_500,READ_0"
3,SQM (Real Timing - Calibrated),0.4883,N/A,1,1,10,1000,1024,1,Backend-calibrated timing,"WRITE_0,IDLE_500,READ_0"
