"Qubit","T1 (us)","T2 (us)","Readout assignment error","Init error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"18","130.5634256116551","120.1374853676727","0.007080078125","0.002060195056733965","0.0087890625","0.00537109375","2180","0.00042631818550455624","32","0.00042631818550455624","0","0.00042631818550455624","0.00042631818550455624","11:0.0019114500508720655;31:0.002519976435433058","11:68;31:68","11:0.001867180494161208;31:0.0016944134847212688","0.007080078125","0.0048828125","Yes"
"19","316.0621389687711","282.17974396178136","0.0106201171875","0.0035913105398089327","0.01220703125","0.009033203125","2180","0.00037699809767050425","32","0.00037699809767050425","0","0.00037699809767050425","0.00037699809767050425","35:0.0011939866289382706;15:0.0034889936060572","35:68;15:68","35:0.0011926759789033514;15:0.0015133032524272394","0.0106201171875","0.010986328125","Yes"
"20","203.51303719777266","50.78878857268028","0.005859375","0.0011998094021686918","0.009033203125","0.002685546875","2180","0.00044497396458945116","32","0.00044497396458945116","0","0.00044497396458945116","0.00044497396458945116","21:0.0022756945871135748","21:68","21:0.001596535136980326","0.005859375","0.00634765625","Yes"
"21","211.45653961091458","295.8566159586644","0.007080078125","0.0023137257891761775","0.00634765625","0.0078125","2180","0.00013663298855020163","32","0.00013663298855020163","0","0.00013663298855020163","0.00013663298855020163","36:0.0016790404711077567;20:0.0022756945871135748;22:0.0019600388913897926","36:68;20:68;22:68","36:0.0012426643503876122;20:0.001596535136980326;22:0.0019734355492028732","0.007080078125","0.008056640625","Yes"
"22","72.36028600009661","89.31277654092654","0.0103759765625","","0.013916015625","0.0068359375","2180","0.0002823982543626685","32","0.0002823982543626685","0","0.0002823982543626685","0.0002823982543626685","23:0.0018546306055235717;21:0.0019600388913897926","23:68;21:68","23:0.0018375802964619437;21:0.0019734355492028732","0.0103759765625","0.01611328125","Yes"
"23","234.19468933132453","73.95202757032905","0.0032958984375","0.0008003564498316295","0.004638671875","0.001953125","2180","0.00017576534316302258","32","0.00017576534316302258","0","0.00017576534316302258","0.00017576534316302258","22:0.0018546306055235717;24:0.0018469513992183106;16:0.001682686142286366","22:68;24:68;16:68","22:0.0018375802964619437;24:0.001511711294233803;16:0.0010925332944608512","0.0032958984375","0.004150390625","Yes"
"24","266.80329554535876","63.11489531963262","0.0172119140625","","0.017822265625","0.0166015625","2180","0.000483436626119768","32","0.000483436626119768","0","0.000483436626119768","0.000483436626119768","23:0.0018469513992183106;25:0.002290156870003335","23:68;25:68","23:0.001511711294233803;25:0.0022310891029680147","0.0172119140625","0.02880859375","Yes"
"25","338.9921746043627","29.295763769986152","0.003662109375","0.0011999542081849572","0.004150390625","0.003173828125","2180","0.00021723508544682068","32","0.00021723508544682068","0","0.00021723508544682068","0.00021723508544682068","24:0.002290156870003335;26:0.001952101798597533;37:0.0019456548073835678","24:68;26:68;37:68","24:0.0022310891029680147;26:0.0020276901273341696;37:0.002889769908844736","0.003662109375","0.0068359375","Yes"
"26","199.4279335267187","131.47166484869146","0.007568359375","0.0018339900106166436","0.011962890625","0.003173828125","2180","0.0002297954768037058","32","0.0002297954768037058","0","0.0002297954768037058","0.0002297954768037058","25:0.001952101798597533;27:0.0018974856249166505","25:68;27:68","25:0.0020276901273341696;27:0.00200038409438158","0.007568359375","0.017333984375","Yes"
"27","220.90269890979727","61.766853470020884","0.014404296875","0.0011163599896401035","0.015380859375","0.013427734375","2180","0.00021844504933789447","32","0.00021844504933789447","0","0.00021844504933789447","0.00021844504933789447","26:0.0018974856249166505;28:0.001370725866899819;17:0.001551085726727769","26:68;28:68;17:68","26:0.00200038409438158;28:0.0012764696067738834;17:0.0013776417444248956","0.014404296875","0.02392578125","Yes"
"28","319.6462204091381","391.3271202422867","0.01025390625","0.0017806914515729466","0.016357421875","0.004150390625","2180","0.00018407026491624865","32","0.00018407026491624865","0","0.00018407026491624865","0.00018407026491624865","27:0.001370725866899819;29:0.0023296515903885318","27:68;29:68","27:0.0012764696067738834;29:0.0022143918894984016","0.01025390625","0.00732421875","Yes"
"29","190.79058152553648","74.68973316642875","0.0098876953125","0.0006002672079050177","0.0166015625","0.003173828125","2180","0.00021981816159390155","32","0.00021981816159390155","0","0.00021981816159390155","0.00021981816159390155","38:0.005386390246923806;28:0.0023296515903885318;30:0.0018900228597997781","38:68;28:68;30:80","38:0.002884021082065369;28:0.0022143918894984016;30:0.0014075554085325737","0.0098876953125","0.005126953125","Yes"
"30","217.07824757112644","78.42143631800668","0.010009765625","0.003215500652520155","0.013916015625","0.006103515625","2180","0.00031412322351083807","32","0.00031412322351083807","0","0.00031412322351083807","0.00031412322351083807","31:0.004428202621945071;29:0.0018900228597997781","31:68;29:80","31:0.004537647205785977;29:0.0014075554085325737","0.010009765625","0.006103515625","Yes"
"31","188.17064745749536","204.7858021119291","0.0125732421875","","0.01904296875","0.006103515625","2180","0.0001817703181755112","32","0.0001817703181755112","0","0.0001817703181755112","0.0001817703181755112","30:0.004428202621945071;32:0.0020045318627981423;18:0.002519976435433058","30:68;32:68;18:68","30:0.004537647205785977;32:0.0017692816224641472;18:0.0016944134847212688","0.0125732421875","0.092041015625","Yes"
"32","287.1826181764226","363.2901012318419","0.019775390625","","0.024658203125","0.014892578125","2180","0.0001650758959583052","32","0.0001650758959583052","0","0.0001650758959583052","0.0001650758959583052","31:0.0020045318627981423;33:0.0046535822512539515","31:68;33:68","31:0.0017692816224641472;33:0.0021564349255830673","0.019775390625","0.013427734375","Yes"
"33","260.4217145917077","400.70365533925116","0.0057373046875","0.0012238575486508106","0.01318359375","0.0029296875","2180","0.00018674583519269098","32","0.00018674583519269098","0","0.00018674583519269098","0.00018674583519269098","39:0.0026511575859728687;32:0.0046535822512539515;34:0.003008259413195463","39:68;32:68;34:108","39:0.0017749062530858228;32:0.0021564349255830673;34:0.001933015759095602","0.0057373046875","0.007568359375","Yes"
"34","285.98330951359947","267.7168246420845","0.025146484375","","0.02392578125","0.0263671875","2180","0.00018657298807386497","32","0.00018657298807386497","0","0.00018657298807386497","0.00018657298807386497","33:0.003008259413195463;35:0.0017666776364332615","33:108;35:68","33:0.001933015759095602;35:0.0014378311238003871","0.025146484375","0.021240234375","Yes"
"35","300.08505781947974","289.4173213301946","0.0179443359375","","0.019287109375","0.0166015625","2180","0.00012965686829626732","32","0.00012965686829626732","0","0.00012965686829626732","0.00012965686829626732","19:0.0011939866289382706;34:0.0017666776364332615","19:68;34:68","19:0.0011926759789033514;34:0.0014378311238003871","0.0179443359375","0.027099609375","Yes"
"36","221.1223872064212","222.4228090737326","0.0050048828125","0.0011169850855370193","0.0078125","0.002197265625","2180","0.0002467652498076341","32","0.0002467652498076341","0","0.0002467652498076341","0.0002467652498076341","41:0.00211162585628194;21:0.0016790404711077567","41:68;21:68","41:0.0019465329815718524;21:0.0012426643503876122","0.0050048828125","0.0068359375","Yes"
"37","203.30973214783072","30.54197293378444","0.0101318359375","0.0035614882980244894","0.013916015625","0.00634765625","2180","0.0002901281302099782","32","0.0002901281302099782","0","0.0002901281302099782","0.0002901281302099782","45:0.001936697825361905;25:0.0019456548073835678","45:68;25:68","45:0.003017370169256711;25:0.002889769908844736","0.0101318359375","0.01171875","Yes"
"38","232.12479195383736","107.3852927590728","0.00927734375","0.0014531492590179895","0.016357421875","0.002197265625","2180","0.00025994514970726745","32","0.00025994514970726745","0","0.00025994514970726745","0.00025994514970726745","29:0.005386390246923806;49:0.0015187686252996768","29:68;49:68","29:0.002884021082065369;49:0.001243615789983804","0.00927734375","0.00537109375","Yes"
"39","117.91763324247582","105.65631762151857","0.010986328125","0.003914760164503454","0.013427734375","0.008544921875","2180","0.00019478574167847696","32","0.00019478574167847696","0","0.00019478574167847696","0.00019478574167847696","53:0.001678753096283403;33:0.0026511575859728687","53:68;33:68","53:0.00167909956995424;33:0.0017749062530858228","0.010986328125","0.0341796875","Yes"
"40","292.9451104749562","62.01974481320904","0.0062255859375","0.003400283755784461","0.005859375","0.006591796875","2180","0.00038631791022287446","32","0.00038631791022287446","0","0.00038631791022287446","0.00038631791022287446","41:0.002460841979475603","41:68","41:0.002201051198317483","0.0062255859375","0.029296875","Yes"
"41","120.05563265382803","41.53680915508764","0.0137939453125","0.001990505570952037","0.023681640625","0.00390625","2180","0.0002590781292012211","32","0.0002590781292012211","0","0.0002590781292012211","0.0002590781292012211","40:0.002460841979475603;42:0.0029039914949026135;36:0.00211162585628194","40:68;42:68;36:68","40:0.002201051198317483;42:0.002224774006309743;36:0.0019465329815718524","0.0137939453125","0.005126953125","Yes"
"42","230.83076206142763","106.97243716957239","0.0037841796875","0.0003967915933388086","0.007080078125","0.00048828125","2180","0.00031637598703429173","32","0.00031637598703429173","0","0.00031637598703429173","0.00031637598703429173","41:0.0029039914949026135;43:0.0043285411603530555","41:68;43:68","41:0.002224774006309743;43:0.002385484292131118","0.0037841796875","0.003662109375","Yes"
"43","201.6308616015836","50.70262123875896","0.0198974609375","0.002620065545871725","0.035400390625","0.00439453125","2180","0.0004617884410901729","32","0.0004617884410901729","0","0.0004617884410901729","0.0004617884410901729","42:0.0043285411603530555;56:0.009744927081574678;44:0.0035405706576801532","42:68;56:68;44:68","42:0.002385484292131118;56:0.0039417201713888295;44:0.001916906527101997","0.0198974609375","0.00732421875","Yes"
"44","271.75095097401885","329.5643663270067","0.009033203125","0.0003280941576215478","0.01513671875","0.0029296875","2180","0.00026729759883551774","32","0.00026729759883551774","0","0.00026729759883551774","0.00026729759883551774","45:0.0017797118089657171;43:0.0035405706576801532","45:68;43:68","45:0.0015697917205329537;43:0.001916906527101997","0.009033203125","0.003662109375","Yes"
