"Qubit","T1 (us)","T2 (us)","Readout assignment error","Init error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","XSLOW error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"10","215.82001036088735","23.54605219913364","0.005615234375","0.0012983023418651684","0.0087890625","0.00244140625","2180","0.0001537636428301377","32","0.0001537636428301377","0","0.0001537636428301377","0.0001537636428301377","0.0001537636428301377","9:0.0032388774152898037;11:0.0011769739627738585","9:68;11:68","9:0.0046265954643274765;11:0.0014852299449751305","0.005615234375","0.003173828125","Yes"
"11","370.8309162745571","116.60180658135457","0.005126953125","0.0008074695522981461","0.01025390625","0","2180","0.0003882099840808137","32","0.0003882099840808137","0","0.0003882099840808137","0.0003882099840808137","0.0003882099840808137","18:0.0017886124283917892;10:0.0011769739627738585;12:0.0010346664176455467","18:68;10:68;12:68","18:0.00205226760532104;10:0.0014852299449751305;12:0.0012303157959831779","0.005126953125","0.001708984375","Yes"
"12","325.4088960603398","323.43708917109046","0.029541015625","","0.0361328125","0.02294921875","2180","0.00022363169079657683","32","0.00022363169079657683","0","0.00022363169079657683","0.00022363169079657683","0.00022363169079657683","13:0.002724382936160674;11:0.0010346664176455467","13:68;11:68","13:0.0015742866117826604;11:0.0012303157959831779","0.029541015625","0.046142578125","Yes"
"13","290.96746765322837","303.6118567471803","0.006591796875","0.0005585899281269569","0.0078125","0.00537109375","2180","0.0003378494875589955","32","0.0003378494875589955","0","0.0003378494875589955","0.0003378494875589955","0.0003378494875589955","12:0.002724382936160674;14:0.0015309615357778639","12:68;14:68","12:0.0015742866117826604;14:0.0009436890777264617","0.006591796875","0.007080078125","Yes"
"14","354.9348633787556","156.38650249302805","0.021728515625","","0.0224609375","0.02099609375","2180","0.00019911026598619735","32","0.00019911026598619735","0","0.00019911026598619735","0.00019911026598619735","0.00019911026598619735","15:0.0021493762177458298;13:0.0015309615357778639","15:68;13:68","15:0.0015093820935814517;13:0.0009436890777264617","0.021728515625","0.0146484375","Yes"
"15","254.32897056203723","314.89377735742005","0.00634765625","0.0003997303526616105","0.00830078125","0.00439453125","2180","0.00010219211652960063","32","0.00010219211652960063","0","0.00010219211652960063","0.00010219211652960063","0.00010219211652960063","14:0.0021493762177458298;19:0.0019522951146289658","14:68;19:68","14:0.0015093820935814517;19:0.0016709393085243274","0.00634765625","0.00439453125","Yes"
"16","209.7482010044639","231.31377546209166","0.01220703125","0.0019719696158565425","0.01171875","0.0126953125","2180","0.00013643467374513016","32","0.00013643467374513016","0","0.00013643467374513016","0.00013643467374513016","0.00013643467374513016","23:0.002461037227324825;3:0.0011038996790617983","23:68;3:68","23:0.0013387363635891103;3:0.0013015384968247945","0.01220703125","0.02099609375","Yes"
"17","206.20915815245309","113.24112137466057","0.00439453125","0.00034086730497487046","0.00537109375","0.00341796875","2180","0.0002508694871051352","32","0.0002508694871051352","0","0.0002508694871051352","0.0002508694871051352","0.0002508694871051352","7:0.006241191415849973;27:0.001964451446934079","7:68;27:68","7:0.004582601574560141;27:0.0023896227277906135","0.00439453125","0.00244140625","Yes"
"18","124.57129244164561","113.61851823931143","0.006103515625","0.0016326176133891134","0.01025390625","0.001953125","2180","0.0006993089985193058","32","0.0006993089985193058","0","0.0006993089985193058","0.0006993089985193058","0.0006993089985193058","11:0.0017886124283917892;31:0.0023830363356798223","11:68;31:68","11:0.00205226760532104;31:0.0025061462218547714","0.006103515625","0.003662109375","Yes"
"19","251.45459624457223","242.95561409535506","0.01220703125","0.003035477098234891","0.01220703125","0.01220703125","2180","0.00022664820128100323","32","0.00022664820128100323","0","0.00022664820128100323","0.00022664820128100323","0.00022664820128100323","35:0.0008607642183357522;15:0.0019522951146289658","35:68;15:68","35:0.0011027196902031744;15:0.0016709393085243274","0.01220703125","0.0078125","Yes"
"20","283.2681870469785","59.69502530951475","0.007080078125","0.0014625124580591716","0.01171875","0.00244140625","2180","0.00036276535625363437","32","0.00036276535625363437","0","0.00036276535625363437","0.00036276535625363437","0.00036276535625363437","21:0.002094324336657627","21:68","21:0.0020943986776389145","0.007080078125","0.003662109375","Yes"
"21","290.92132703663884","86.69134291100072","0.01416015625","0.0005998611946173634","0.021484375","0.0068359375","2180","0.00013475218183658458","32","0.00013475218183658458","0","0.00013475218183658458","0.00013475218183658458","0.00013475218183658458","36:0.0013856812814277697;20:0.002094324336657627;22:0.0017568796418776511","36:68;20:68;22:68","36:0.0011933722842244199;20:0.0020943986776389145;22:0.001659901444050732","0.01416015625","0.006103515625","Yes"
"22","80.43881578943017","90.02822761537675","0.010498046875","0.002688959013436297","0.0126953125","0.00830078125","2180","0.00018462198955109107","32","0.00018462198955109107","0","0.00018462198955109107","0.00018462198955109107","0.00018462198955109107","23:0.0018129656918229875;21:0.0017568796418776511","23:68;21:68","23:0.0017198802412040637;21:0.001659901444050732","0.010498046875","0.012451171875","Yes"
"23","233.1760005685518","67.65404148797742","0.0078125","0.0022036653965047427","0.0126953125","0.0029296875","2180","0.0001980491530499656","32","0.0001980491530499656","0","0.0001980491530499656","0.0001980491530499656","0.0001980491530499656","22:0.0018129656918229875;24:0.0017794239214802;16:0.002461037227324825","22:68;24:68;16:68","22:0.0017198802412040637;24:0.0018289737880560764;16:0.0013387363635891103","0.0078125","0.021484375","Yes"
"24","271.95461586177544","69.27807269790465","0.01953125","","0.02392578125","0.01513671875","2180","0.0005660044030386833","32","0.0005660044030386833","0","0.0005660044030386833","0.0005660044030386833","0.0005660044030386833","23:0.0017794239214802;25:0.0023607337438746323","23:68;25:68","23:0.0018289737880560764;25:0.0024457624206775386","0.01953125","0.02392578125","Yes"
"25","351.59453375327803","29.65485998353942","0.0068359375","0.0006675763391465527","0.01220703125","0.00146484375","2180","0.0002016199416958469","32","0.0002016199416958469","0","0.0002016199416958469","0.0002016199416958469","0.0002016199416958469","24:0.0023607337438746323;26:0.0018682666608969278;37:0.0026056518905193116","24:68;26:68;37:68","24:0.0024457624206775386;26:0.0013718792256821322;37:0.0017482967263919014","0.0068359375","0.00732421875","Yes"
"26","210.86227747819595","153.4993149647834","0.011962890625","0.0034391000707953","0.01611328125","0.0078125","2180","0.0002223747965809384","32","0.0002223747965809384","0","0.0002223747965809384","0.0002223747965809384","0.0002223747965809384","25:0.0018682666608969278;27:0.0019688021088371532","25:68;27:68","25:0.0013718792256821322;27:0.0030639304689742686","0.011962890625","0.015380859375","Yes"
"27","382.831146230684","75.54867255827367","0.0244140625","0.0011163599896401035","0.0234375","0.025390625","2180","0.00018231875710875617","32","0.00018231875710875617","0","0.00018231875710875617","0.00018231875710875617","0.00018231875710875617","26:0.0019688021088371532;28:0.0019630344009358702;17:0.001964451446934079","26:68;28:68;17:68","26:0.0030639304689742686;28:0.0014120927021549767;17:0.0023896227277906135","0.0244140625","0.020263671875","Yes"
"28","163.52943230515234","177.3462860884819","0.00830078125","0.0018015527709642502","0.01416015625","0.00244140625","2180","0.0001951226105001344","32","0.0001951226105001344","0","0.0001951226105001344","0.0001951226105001344","0.0001951226105001344","27:0.0019630344009358702;29:0.0038667720943545147","27:68;29:68","27:0.0014120927021549767;29:0.002164688733935438","0.00830078125","0.008544921875","Yes"
"29","192.80793878916828","81.764420118177","0.00634765625","0.0010101533802129663","0.01025390625","0.00244140625","2180","0.0002098257905780907","32","0.0002098257905780907","0","0.0002098257905780907","0.0002098257905780907","0.0002098257905780907","38:0.006028074820296964;28:0.0038667720943545147;30:0.0016023431558342682","38:68;28:68;30:80","38:0.0027449556645849915;28:0.002164688733935438;30:0.0032633955616446497","0.00634765625","0.01123046875","Yes"
"30","237.32044373738242","74.3054082705923","0.006591796875","0.0010105738133037252","0.01123046875","0.001953125","2180","0.000302369328095747","32","0.000302369328095747","0","0.000302369328095747","0.000302369328095747","0.000302369328095747","31:0.0014598702781674633;29:0.0016023431558342682","31:68;29:80","31:0.0038124949130309838;29:0.0032633955616446497","0.006591796875","0.004150390625","Yes"
"31","139.58459567571654","193.10058019434788","0.017822265625","","0.0341796875","0.00146484375","2180","0.00016164254349377728","32","0.00016164254349377728","0","0.00016164254349377728","0.00016164254349377728","0.00016164254349377728","30:0.0014598702781674633;32:0.004508430541596331;18:0.0023830363356798223","30:68;32:68;18:68","30:0.0038124949130309838;32:0.0016427944365520752;18:0.0025061462218547714","0.017822265625","0.08837890625","Yes"
"32","300.25198567318665","399.8747990071524","0.031005859375","","0.033203125","0.02880859375","2180","0.0006175670779016035","32","0.0006175670779016035","0","0.0006175670779016035","0.0006175670779016035","0.0006175670779016035","31:0.004508430541596331;33:0.00644473529848813","31:68;33:68","31:0.0016427944365520752;33:0.0019709125253496995","0.031005859375","0.013671875","Yes"
"33","243.5386917260954","343.65123219299915","0.008544921875","0.0010594239188858857","0.0107421875","0.00634765625","2180","0.00015732919359358956","32","0.00015732919359358956","0","0.00015732919359358956","0.00015732919359358956","0.00015732919359358956","39:0.0026956697347942093;32:0.00644473529848813;34:0.002363444886191779","39:68;32:68;34:108","39:0.0014521566021759302;32:0.0019709125253496995;34:0.0044668869591694416","0.008544921875","0.007080078125","Yes"
"34","215.61841293067525","195.47535274659447","0.016845703125","","0.025390625","0.00830078125","2180","0.00018199103906220212","32","0.00018199103906220212","0","0.00018199103906220212","0.00018199103906220212","0.00018199103906220212","33:0.002363444886191779;35:0.0012436297808678387","33:108;35:68","33:0.0044668869591694416;35:0.002518296612803228","0.016845703125","0.006103515625","Yes"
"35","270.1208190711042","295.096412408019","0.04248046875","","0.0419921875","0.04296875","2180","0.0001216399214595087","32","0.0001216399214595087","0","0.0001216399214595087","0.0001216399214595087","0.0001216399214595087","19:0.0008607642183357522;34:0.0012436297808678387","19:68;34:68","19:0.0011027196902031744;34:0.002518296612803228","0.04248046875","0.024658203125","Yes"
"36","267.8807305658804","25.03512357997084","0.0068359375","0.0009942265427111535","0.0107421875","0.0029296875","2180","0.00028704246825044514","32","0.00028704246825044514","0","0.00028704246825044514","0.00028704246825044514","0.00028704246825044514","41:0.0015696781842798047;21:0.0013856812814277697","41:68;21:68","41:0.0016497992612422019;21:0.0011933722842244199","0.0068359375","0.002197265625","Yes"
"37","153.80720859733492","29.60824800929108","0.00732421875","0.0015941324796214255","0.0078125","0.0068359375","2180","0.0008391255445193165","32","0.0008391255445193165","0","0.0008391255445193165","0.0008391255445193165","0.0008391255445193165","45:0.002626910605544569;25:0.0026056518905193116","45:68;25:68","45:0.0023864901729846455;25:0.0017482967263919014","0.00732421875","0.00439453125","Yes"
"38","263.0185234774022","38.91849569956384","0.005859375","0.0013767448280829321","0.01025390625","0.00146484375","2180","0.0003096579682945505","32","0.0003096579682945505","0","0.0003096579682945505","0.0003096579682945505","0.0003096579682945505","29:0.006028074820296964;49:0.0015098780705531112","29:68;49:68","29:0.0027449556645849915;49:0.0010925726279193415","0.005859375","0.0048828125","Yes"
"39","207.26044511501553","124.66973639374025","0.009033203125","0.004450269522270893","0.01318359375","0.0048828125","2180","0.00019562492644511117","32","0.00019562492644511117","0","0.00019562492644511117","0.00019562492644511117","0.00019562492644511117","53:0.0023143639600766985;33:0.0026956697347942093","53:68;33:68","53:0.0041128155646580344;33:0.0014521566021759302","0.009033203125","0.02783203125","Yes"
"40","197.84156612505242","64.81373708612355","0.005859375","0.0019231683038908797","0.00537109375","0.00634765625","2180","0.0003887888529307954","32","0.0003887888529307954","0","0.0003887888529307954","0.0003887888529307954","0.0003887888529307954","41:0.0020341102478575457","41:68","41:0.0024296820382661566","0.005859375","0.09423828125","Yes"
"41","331.1687515660217","61.21329089429773","0.007080078125","0.0009584964668467138","0.01220703125","0.001953125","2180","0.0002254917523171833","32","0.0002254917523171833","0","0.0002254917523171833","0.0002254917523171833","0.0002254917523171833","40:0.0020341102478575457;42:0.0021538516380617545;36:0.0015696781842798047","40:68;42:68;36:68","40:0.0024296820382661566;42:0.0025955466314712683;36:0.0016497992612422019","0.007080078125","0.003173828125","Yes"
"42","332.26791374566164","134.70273162367283","0.0048828125","0.0012000398250971934","0.00634765625","0.00341796875","2180","0.00039526001207287827","32","0.00039526001207287827","0","0.00039526001207287827","0.00039526001207287827","0.00039526001207287827","41:0.0021538516380617545;43:0.0020555401154540853","41:68;43:68","41:0.0025955466314712683;43:0.002168118214561171","0.0048828125","0.002685546875","Yes"
"43","166.55011024804438","53.51075035958431","0.00439453125","0.0012091800512376667","0.0068359375","0.001953125","2180","0.0003610254207322641","32","0.0003610254207322641","0","0.0003610254207322641","0.0003610254207322641","0.0003610254207322641","42:0.0020555401154540853;56:0.005177241912885433;44:0.00275299451719091","42:68;56:68;44:68","42:0.002168118214561171;56:0.0042040309047856605;44:0.002732564453472891","0.00439453125","0.00390625","Yes"
"44","110.75385233028301","108.64569936535297","0.008056640625","0.00020007975675602143","0.01318359375","0.0029296875","2180","0.0002379758344869516","32","0.0002379758344869516","0","0.0002379758344869516","0.0002379758344869516","0.0002379758344869516","45:0.001374142269398304;43:0.00275299451719091","45:68;43:68","45:0.001719585111695815;43:0.002732564453472891","0.008056640625","0.003662109375","Yes"
"45","246.68446481892374","185.8133040544655","0.003662109375","0.0010026165279753206","0.0068359375","0.00048828125","2180","0.0003145281915824828","32","0.0003145281915824828","0","0.0003145281915824828","0.0003145281915824828","0.0003145281915824828","44:0.001374142269398304;46:0.0017261558317489545;37:0.002626910605544569","44:68;46:68;37:68","44:0.001719585111695815;46:0.0019486609162822077;37:0.0023864901729846455","0.003662109375","0.006103515625","Yes"
"46","95.8293174072061","64.25063349664875","0.007568359375","0.0038576075855691863","0.0087890625","0.00634765625","2180","0.0003155314791030388","32","0.0003155314791030388","0","0.0003155314791030388","0.0003155314791030388","0.0003155314791030388","45:0.0017261558317489545;47:0.0021947542089498784","45:68;47:68","45:0.0019486609162822077;47:0.0015684399777508296","0.007568359375","0.00537109375","Yes"
"47","255.87581133591863","139.02320596218138","0.00537109375","0.0004014601591693077","0.0107421875","0","2180","0.0007838161914414178","32","0.0007838161914414178","0","0.0007838161914414178","0.0007838161914414178","0.0007838161914414178","48:0.004311111954304225;57:0.002026777144548464;46:0.0021947542089498784","48:68;57:68;46:68","48:0.003375278616214311;57:0.002027044610755313;46:0.0015684399777508296","0.00537109375","0.00390625","Yes"
"48","239.82946585678818","20.882275542912833","0.005615234375","0.0010042929885874536","0.00537109375","0.005859375","2180","0.00022936410514271395","32","0.00022936410514271395","0","0.00022936410514271395","0.00022936410514271395","0.00022936410514271395","47:0.004311111954304225;49:0.0016348980363904142","47:68;49:68","47:0.003375278616214311;49:0.002203347844783321","0.005615234375","0.02978515625","Yes"
"49","316.82053644998985","111.4055158429204","0.00927734375","0.0014323847404421899","0.01171875","0.0068359375","2180","0.0002747841314900132","32","0.0002747841314900132","0","0.0002747841314900132","0.0002747841314900132","0.0002747841314900132","48:0.0016348980363904142;50:0.00153966617845111;38:0.0015098780705531112","48:68;50:68;38:68","48:0.002203347844783321;50:0.0015785047248330908;38:0.0010925726279193415","0.00927734375","0.005615234375","Yes"
"50","153.7341549148517","143.88088541781292","0.003662109375","0.00040008338165914734","0.00634765625","0.0009765625","2180","0.0002625228439081146","32","0.0002625228439081146","0","0.0002625228439081146","0.0002625228439081146","0.0002625228439081146","49:0.00153966617845111;51:0.00169677421248271","49:68;51:68","49:0.0015785047248330908;51:0.0016277129798194512","0.003662109375","0.00634765625","Yes"
"51","222.91844904316824","206.4664781311929","0.052734375","","0.0380859375","0.0673828125","2180","0.0004959157864762098","32","0.0004959157864762098","0","0.0004959157864762098","0.0004959157864762098","0.0004959157864762098","50:0.00169677421248271;52:0.0020221608434162763;58:0.0021920521907908275","50:68;52:68;58:68","50:0.0016277129798194512;52:0.0033339678136898587;58:0.0016106211079214838","0.052734375","0.009033203125","Yes"
"52","287.2769257756063","63.0483321831405","0.0244140625","0.0014156050053026645","0.03173828125","0.01708984375","2180","0.00027029667712453906","32","0.00027029667712453906","0","0.00027029667712453906","0.00027029667712453906","0.00027029667712453906","51:0.0020221608434162763;53:0.0014125752779660383","51:68;53:68","51:0.0033339678136898587;53:0.0016135949931188331","0.0244140625","0.0087890625","Yes"
"53","343.56427920156256","59.5960027722432","0.00537109375","0.0010016550015091567","0.0048828125","0.005859375","2180","0.00013266076651403992","32","0.00013266076651403992","0","0.00013266076651403992","0.00013266076651403992","0.00013266076651403992","39:0.0023143639600766985;52:0.0014125752779660383;54:0.0010717614890865257","39:68;52:68;54:68","39:0.0041128155646580344;52:0.0016135949931188331;54:0.0010993224827106907","0.00537109375","0.00439453125","Yes"
"54","255.56373740513337","177.03028570170565","0.03515625","","0.02880859375","0.04150390625","2180","0.00020401536346434035","32","0.00020401536346434035","0","0.00020401536346434035","0.00020401536346434035","0.00020401536346434035","53:0.0010717614890865257;55:0.0015605273931657837","53:68;55:68","53:0.0010993224827106907;55:0.0017095551253181185","0.03515625","0.023193359375","Yes"
