"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"14","368.5620385559705","544.9187567009137","0.0279541015625","0.0234375","0.032470703125","2280","0.00026815674029380843","32","0.00026815674029380843","0","0.00026815674029380843","0.00026815674029380843","15:0.0024020476489186593;13:0.00152787017164277","15:68;13:68","15:0.0027605330036303277;13:0.0013332444193094317","0.0279541015625","0.018310546875","Yes"
"15","393.4940808629572","357.97042061473275","0.00732421875","0.0068359375","0.0078125","2280","0.00011567034840757094","32","0.00011567034840757094","0","0.00011567034840757094","0.00011567034840757094","14:0.0024020476489186593;19:0.0012877533361047022","14:68;19:68","14:0.0027605330036303277;19:0.0010259926138395103","0.00732421875","0.002685546875","Yes"
"16","291.07532905839116","264.24657924785816","0.03466796875","0.056640625","0.0126953125","2280","0.0001435586903646108","32","0.0001435586903646108","0","0.0001435586903646108","0.0001435586903646108","23:0.0012392794571838006;3:0.0013277560473219652","23:68;3:68","23:0.0015915675151162156;3:0.0012199320619872","0.03466796875","0.02392578125","Yes"
"17","277.48598971689364","105.52143849400652","0.0057373046875","0.008056640625","0.00341796875","2280","0.00027360163107763904","32","0.00027360163107763904","0","0.00027360163107763904","0.00027360163107763904","7:0.0070628806953277334;27:0.0019273352444092173","7:68;27:68","7:0.005717587954766373;27:0.0016234424938714187","0.0057373046875","0.00439453125","Yes"
"18","124.0390447111326","98.61433194301337","0.0169677734375","0.032958984375","0.0009765625","2280","0.0004869949335386325","32","0.0004869949335386325","0","0.0004869949335386325","0.0004869949335386325","11:0.00345717969650311;31:0.0026799257710959645","11:68;31:68","11:0.0015357615453013007;31:0.0017592448228243296","0.0169677734375","0.00341796875","Yes"
"19","300.3625131682489","212.61285048856064","0.01513671875","0.014404296875","0.015869140625","2280","0.000334388231748198","32","0.000334388231748198","0","0.000334388231748198","0.000334388231748198","35:0.0010453189459409262;15:0.0012877533361047022","35:68;15:68","35:0.0016865168089944538;15:0.0010259926138395103","0.01513671875","0.009765625","Yes"
"20","302.5377848190087","22.50537255748698","0.0078125","0.0107421875","0.0048828125","2280","0.00033118876941877186","32","0.00033118876941877186","0","0.00033118876941877186","0.00033118876941877186","21:0.0016626316176279465","21:68","21:0.0013499703111349015","0.0078125","0.006103515625","Yes"
"21","354.22159265758097","328.55720517652355","0.004638671875","0.006103515625","0.003173828125","2280","0.00031999471099685036","32","0.00031999471099685036","0","0.00031999471099685036","0.00031999471099685036","36:0.0010944946195944882;20:0.0016626316176279465;22:0.0013282139629234857","36:68;20:68;22:68","36:0.0015379356788935428;20:0.0013499703111349015;22:0.0012455171239536544","0.004638671875","0.002685546875","Yes"
"22","290.0804285002813","136.2463071987428","0.0279541015625","0.021484375","0.034423828125","2280","0.00017822112010865262","32","0.00017822112010865262","0","0.00017822112010865262","0.00017822112010865262","23:0.0038567170222787994;21:0.0013282139629234857","23:68;21:68","23:0.0023290948035524783;21:0.0012455171239536544","0.0279541015625","0.024169921875","Yes"
"23","315.19961397523974","58.01734807859975","0.0054931640625","0.005859375","0.005126953125","2280","0.00010831851131938938","32","0.00010831851131938938","0","0.00010831851131938938","0.00010831851131938938","22:0.0038567170222787994;24:0.00170311231247805;16:0.0012392794571838006","22:68;24:68;16:68","22:0.0023290948035524783;24:0.0014565916196766782;16:0.0015915675151162156","0.0054931640625","0.00537109375","Yes"
"24","313.2381068013019","48.69609731031771","0.025390625","0.023193359375","0.027587890625","2280","0.000515437032417256","32","0.000515437032417256","0","0.000515437032417256","0.000515437032417256","23:0.00170311231247805;25:0.0024169598552647442","23:68;25:68","23:0.0014565916196766782;25:0.0022991086077828737","0.025390625","0.026611328125","Yes"
"25","303.12799076870056","25.144499385456292","0.0076904296875","0.00830078125","0.007080078125","2280","0.0002566840672265154","32","0.0002566840672265154","0","0.0002566840672265154","0.0002566840672265154","24:0.0024169598552647442;26:0.0016120247464625481;37:0.0022931747427695215","24:68;26:68;37:68","24:0.0022991086077828737;26:0.001607584912305976;37:0.0020761173118717113","0.0076904296875","0.005859375","Yes"
"26","267.0154363928001","129.13890518400322","0.0101318359375","0.0126953125","0.007568359375","2280","0.0001670146339522722","32","0.0001670146339522722","0","0.0001670146339522722","0.0001670146339522722","25:0.0016120247464625481;27:0.001647412997523745","25:68;27:68","25:0.001607584912305976;27:0.001461170526507627","0.0101318359375","0.017333984375","Yes"
"27","354.35716904932934","60.01521652959148","0.018798828125","0.01171875","0.022216796875","2280","0.00023626157341352893","32","0.00023626157341352893","0","0.00023626157341352893","0.00023626157341352893","26:0.001647412997523745;28:0.0015098505030846365;17:0.0019273352444092173","26:68;28:68;17:68","26:0.001461170526507627;28:0.001392779297912844;17:0.0016234424938714187","0.018798828125","0.014404296875","Yes"
"28","255.97974783652884","250.54928440533394","0.008056640625","0.0146484375","0.00146484375","2280","0.0002449959511646499","32","0.0002449959511646499","0","0.0002449959511646499","0.0002449959511646499","27:0.0015098505030846365;29:0.002567181891016429","27:68;29:68","27:0.001392779297912844;29:0.0021042154933390844","0.008056640625","0.00634765625","Yes"
"29","187.28184469991072","74.61671093937153","0.0074462890625","0.010986328125","0.00390625","2280","0.00016135625108531148","32","0.00016135625108531148","0","0.00016135625108531148","0.00016135625108531148","38:0.010666279196582168;28:0.002567181891016429;30:0.0014170596438815575","38:68;28:68;30:80","38:0.0043942446714598515;28:0.0021042154933390844;30:0.0011411616752192433","0.0074462890625","0.00439453125","Yes"
"30","279.83408315382144","55.256227400798025","0.0145263671875","0.0166015625","0.012451171875","2280","0.00022880262168458888","32","0.00022880262168458888","0","0.00022880262168458888","0.00022880262168458888","31:0.001857028739054578;29:0.0014170596438815575","31:68;29:80","31:0.0035801443009081113;29:0.0011411616752192433","0.0145263671875","0.010009765625","Yes"
"31","268.4594733763574","308.3656995437647","0.0205078125","0.02001953125","0.02099609375","2280","0.00013232960317657443","32","0.00013232960317657443","0","0.00013232960317657443","0.00013232960317657443","30:0.001857028739054578;32:0.0020174804062568497;18:0.0026799257710959645","30:68;32:68;18:68","30:0.0035801443009081113;32:0.0014226098258031117;18:0.0017592448228243296","0.0205078125","0.101318359375","Yes"
"32","327.2053090833184","337.67693842180586","0.02734375","0.034423828125","0.020263671875","2280","0.0001656246546191412","32","0.0001656246546191412","0","0.0001656246546191412","0.0001656246546191412","31:0.0020174804062568497;33:0.002740621040019292","31:68;33:68","31:0.0014226098258031117;33:0.0032101314200163322","0.02734375","0.0126953125","Yes"
"33","246.12742241951838","305.9155132125268","0.0146484375","0.0126953125","0.0166015625","2280","0.00022210290311175534","32","0.00022210290311175534","0","0.00022210290311175534","0.00022210290311175534","39:0.0024191136780158107;32:0.002740621040019292;34:0.002900893943396571","39:68;32:68;34:108","39:0.0016501874395056515;32:0.0032101314200163322;34:0.0025918000100108585","0.0146484375","0.013916015625","Yes"
"34","273.30811734145453","267.67852559833483","0.0350341796875","0.028076171875","0.0419921875","2280","0.0003930092892473379","32","0.0003930092892473379","0","0.0003930092892473379","0.0003930092892473379","33:0.002900893943396571;35:0.0014378778171962037","33:108;35:68","33:0.0025918000100108585;35:0.0014338405022326917","0.0350341796875","0.0224609375","Yes"
"35","328.3575847553361","377.44282330931105","0.03369140625","0.0263671875","0.041015625","2280","0.0000932467905902946","32","0.0000932467905902946","0","0.0000932467905902946","0.0000932467905902946","19:0.0010453189459409262;34:0.0014378778171962037","19:68;34:68","19:0.0016865168089944538;34:0.0014338405022326917","0.03369140625","0.0224609375","Yes"
"36","396.25348916462946","201.88101794098276","0.0125732421875","0.010498046875","0.0146484375","2280","0.0002602645081736617","32","0.0002602645081736617","0","0.0002602645081736617","0.0002602645081736617","41:0.0021495467901975762;21:0.0010944946195944882","41:68;21:68","41:0.002417668820038632;21:0.0015379356788935428","0.0125732421875","0.01123046875","Yes"
"37","184.66001200481202","23.248778524937006","0.004638671875","0.0078125","0.00146484375","2280","0.0003452358519733283","32","0.0003452358519733283","0","0.0003452358519733283","0.0003452358519733283","45:0.0026800516241168026;25:0.0022931747427695215","45:68;25:68","45:0.002530601810416838;25:0.0020761173118717113","0.004638671875","0.007568359375","Yes"
"38","261.60593772472413","119.16412568592683","0.0069580078125","0.012451171875","0.00146484375","2280","0.00020624671390030334","32","0.00020624671390030334","0","0.00020624671390030334","0.00020624671390030334","29:0.010666279196582168;49:0.002270783970681506","29:68;49:68","29:0.0043942446714598515;49:0.0020524797034335296","0.0069580078125","0.004638671875","Yes"
"39","121.07861605869998","94.13400278550428","0.013916015625","0.018310546875","0.009521484375","2280","0.00029970850399908046","32","0.00029970850399908046","0","0.00029970850399908046","0.00029970850399908046","53:0.0018815725992781251;33:0.0024191136780158107","53:68;33:68","53:0.0013787718063262844;33:0.0016501874395056515","0.013916015625","0.031494140625","Yes"
"40","308.61625173316946","51.55472406834672","0.0184326171875","0.01220703125","0.024658203125","2280","0.00042298400082166983","32","0.00042298400082166983","0","0.00042298400082166983","0.00042298400082166983","41:0.002664851496568671","41:68","41:0.0023342535623083194","0.0184326171875","0.018798828125","Yes"
"41","292.3240725767629","38.27342185758689","0.0113525390625","0.012939453125","0.009765625","2280","0.00025641486446702547","32","0.00025641486446702547","0","0.00025641486446702547","0.00025641486446702547","40:0.002664851496568671;42:0.002225254778033009;36:0.0021495467901975762","40:68;42:68;36:68","40:0.0023342535623083194;42:0.002534268436838072;36:0.002417668820038632","0.0113525390625","0.0078125","Yes"
"42","279.96702585951004","92.12291316098798","0.0093994140625","0.013427734375","0.00537109375","2280","0.000297971386331874","32","0.000297971386331874","0","0.000297971386331874","0.000297971386331874","41:0.002225254778033009;43:0.0031356958678407376","41:68;43:68","41:0.002534268436838072;43:0.0024524548271059043","0.0093994140625","0.01025390625","Yes"
"43","376.90871127521126","42.311799641574","0.01318359375","0.0126953125","0.013671875","2280","0.0004468093831464705","32","0.0004468093831464705","0","0.0004468093831464705","0.0004468093831464705","42:0.0031356958678407376;56:0.00256964946923402;44:0.0020323647634510333","42:68;56:68;44:68","42:0.0024524548271059043;56:0.002372483412446974;44:0.0022049362070769296","0.01318359375","0.007568359375","Yes"
"44","282.04333277461393","306.53623141525395","0.003662109375","0.00390625","0.001220703125","2280","0.0001637262204924955","32","0.0001637262204924955","0","0.0001637262204924955","0.0001637262204924955","45:0.01044872009269554;43:0.0020323647634510333","45:68;43:68","45:0.006498528603329695;43:0.0022049362070769296","0.003662109375","0.002685546875","Yes"
